,Player,Country,Team,Assists,Season,season_start
975,Dean Richards,England,Tottenham Hotspur,1,2003-2004,2003
976,Michael Ricketts,England,Middlesbrough FC,1,2003-2004,2003
977,Rohan Ricketts,England,Tottenham Hotspur,1,2003-2004,2003
978,Lamine Sakho,Senegal,Leeds United,1,2003-2004,2003
979,Sebastien Schemmel,France,Portsmouth FC,1,2003-2004,2003
980,Tim Sherwood,England,Portsmouth FC,1,2003-2004,2003
981,Mikaël Silvestre,France,Manchester United,1,2003-2004,2003
982,Florent Sinama-Pongolle,France,Liverpool FC,1,2003-2004,2003
983,Frank Sinclair,Jamaica,Leicester City,1,2003-2004,2003
984,Trevor Sinclair,England,Manchester City,1,2003-2004,2003
985,Vladimír Šmicer,Czech Republic,Liverpool FC,1,2003-2004,2003
986,Graham Stuart,England,Charlton Athletic,1,2003-2004,2003
987,Dean Sturridge,England,Wolverhampton Wanderers,1,2003-2004,2003
988,Michael Svensson,Sweden,Southampton FC,1,2003-2004,2003
989,Mauricio Taricco,Argentina,Tottenham Hotspur,1,2003-2004,2003
990,Ben Thatcher,Wales,Leicester City,1,2003-2004,2003
991,David Thompson,England,Blackburn Rovers,1,2003-2004,2003
992,Danny Tiatto,Australia,Manchester City,1,2003-2004,2003
993,Andy Todd,England,Blackburn Rovers,1,2003-2004,2003
994,Kolo Touré,Ivory Coast,Arsenal FC,1,2003-2004,2003
995,Matthew Upson,England,Birmingham City,1,2003-2004,2003
996,Darius Vassell,England,Aston Villa,1,2003-2004,2003
997,Boris Živković,Croatia,Portsmouth FC,1,2003-2004,2003
998,Frank Lampard,England,Chelsea FC,18,2004-2005,2004
999,Thierry Henry,France,Arsenal FC,14,2004-2005,2004
1000,Dennis Bergkamp,Netherlands,Arsenal FC,12,2004-2005,2004
1001,Stewart Downing,England,Middlesbrough FC,11,2004-2005,2004
1002,Reyes,Spain,Arsenal FC,10,2004-2005,2004
1003,Boa Morte,Portugal,Fulham FC,9,2004-2005,2004
1004,Ryan Giggs,Wales,Manchester United,9,2004-2005,2004
1005,Jonathan Greening,England,West Bromwich Albion,9,2004-2005,2004
1006,Arjen Robben,Netherlands,Chelsea FC,9,2004-2005,2004
1007,Wayne Routledge,England,Crystal Palace,9,2004-2005,2004
1008,Freddie Ljungberg,Sweden,Arsenal FC,8,2004-2005,2004
1009,Damien Duff,Ireland,Chelsea FC,7,2004-2005,2004
1010,Jimmy Floyd Hasselbaink,Netherlands,Middlesbrough FC,7,2004-2005,2004
1011,Danny Murphy,England,Charlton Athletic,7,2004-2005,2004
1012,John Arne Riise,Norway,Liverpool FC,7,2004-2005,2004
1013,Peter Crouch,England,Southampton FC,6,2004-2005,2004
1014,Thomas Gravesen,Denmark,Everton FC,6,2004-2005,2004
1015,Eiður Guðjohnsen,Iceland,Chelsea FC,6,2004-2005,2004
1016,Dietmar Hamann,Germany,Liverpool FC,6,2004-2005,2004
1017,Darren Huckerby,England,Norwich City,6,2004-2005,2004
1018,Frédéric Kanouté,Mali,Tottenham Hotspur,6,2004-2005,2004
1019,Steed Malbranque,France,Fulham FC,6,2004-2005,2004
1020,Patrick Vieira,France,Arsenal FC,6,2004-2005,2004
1021,Juan Pablo Ángel,Colombia,Aston Villa,5,2004-2005,2004
1022,Joey Barton,England,Manchester City,5,2004-2005,2004
1023,Patrik Berger,Czech Republic,Portsmouth FC,5,2004-2005,2004
1024,Tim Cahill,Australia,Everton FC,5,2004-2005,2004
1025,Cesc Fàbregas,Spain,Arsenal FC,5,2004-2005,2004
1026,Ulises De la Cruz,Ecuador,Aston Villa,5,2004-2005,2004
1027,Didier Drogba,Ivory Coast,Chelsea FC,5,2004-2005,2004
1028,Robbie Fowler,England,Manchester City,5,2004-2005,2004
1029,Robbie Keane,Ireland,Tottenham Hotspur,5,2004-2005,2004
1030,Mark Pembridge,Wales,Fulham FC,5,2004-2005,2004
1031,Laurent Robert,France,Newcastle United,5,2004-2005,2004
1032,Nolberto Solano,Peru,Aston Villa,5,2004-2005,2004
1033,Gary Speed,Wales,Bolton Wanderers,5,2004-2005,2004
1034,Craig Bellamy,Wales,Newcastle United,4,2004-2005,2004
1035,Marcus Bent,England,Everton FC,4,2004-2005,2004
1036,Eyal Berkovic,Israel,Portsmouth FC,4,2004-2005,2004
1037,Michael Carrick,England,Tottenham Hotspur,4,2004-2005,2004
1038,Andy Cole,England,Fulham FC,4,2004-2005,2004
1039,Carlton Cole,England,Aston Villa,4,2004-2005,2004
1040,Cristiano Ronaldo,Portugal,Manchester United,4,2004-2005,2004
1041,Rory Delap,Ireland,Southampton FC,4,2004-2005,2004
1042,El-Hadji Diouf,Senegal,Bolton Wanderers,4,2004-2005,2004
1043,Brett Emerton,Australia,Blackburn Rovers,4,2004-2005,2004
1044,Lauren Etame Mayer,Cameroon,Arsenal FC,4,2004-2005,2004
1045,Fabrice Fernandes,France,Southampton FC,4,2004-2005,2004
1046,Steven Gerrard,England,Liverpool FC,4,2004-2005,2004
1047,Stylianos Giannakopoulos,Greece,Bolton Wanderers,4,2004-2005,2004
1048,Emile Heskey,England,Birmingham City,4,2004-2005,2004
1049,Luis García,Spain,Liverpool FC,4,2004-2005,2004
1050,Brian McBride,USA,Fulham FC,4,2004-2005,2004
1051,Leon McKenzie,England,Norwich City,4,2004-2005,2004
1052,Robert Pirés,France,Arsenal FC,4,2004-2005,2004
1053,Franck Queudrue,France,Middlesbrough FC,4,2004-2005,2004
1054,Tomasz Radzinski,Canada,Fulham FC,4,2004-2005,2004
1055,Steven Reid,Ireland,Blackburn Rovers,4,2004-2005,2004
1056,Aki Riihilahti,Finland,Crystal Palace,4,2004-2005,2004
1057,Alan Smith,England,Manchester United,4,2004-2005,2004
1058,Shaun Wright-Phillips,England,Manchester City,4,2004-2005,2004
1059,Xabi Alonso,Spain,Liverpool FC,4,2004-2005,2004
1060,Dean Ashton,England,Norwich City,3,2004-2005,2004
1061,Yakubu Ayegbeni,Nigeria,Portsmouth FC,3,2004-2005,2004
1062,Shaun Bartlett,South Africa,Charlton Athletic,3,2004-2005,2004
1063,David Bentley,England,Norwich City,3,2004-2005,2004
1064,Olivier Bernard,France,Southampton FC,3,2004-2005,2004
1065,Lee Bowyer,England,Newcastle United,3,2004-2005,2004
1066,Michael Brown,England,Tottenham Hotspur,3,2004-2005,2004
1067,Simon Davies,Wales,Tottenham Hotspur,3,2004-2005,2004
1068,David Dunn,England,Birmingham City,3,2004-2005,2004
1069,Richard Dunne,Ireland,Manchester City,3,2004-2005,2004
1070,Duncan Ferguson,Scotland,Everton FC,3,2004-2005,2004
1071,Zoltán Gera,Hungary,West Bromwich Albion,3,2004-2005,2004
1072,Geoff Horsfield,England,West Bromwich Albion,3,2004-2005,2004
1073,Hermann Hreiðarsson,Iceland,Charlton Athletic,3,2004-2005,2004
1074,Nicky Hunt,England,Bolton Wanderers,3,2004-2005,2004
1075,Francis Jeffers,England,Charlton Athletic,3,2004-2005,2004
1076,Jermaine Jenas,England,Newcastle United,3,2004-2005,2004
1077,Andy Johnson,England,Crystal Palace,3,2004-2005,2004
1078,Kevin Kilbane,Ireland,Everton FC,3,2004-2005,2004
1079,Graeme Le Saux,England,Southampton FC,3,2004-2005,2004
1080,Lomana LuaLua,Congo DR,Portsmouth FC,3,2004-2005,2004
1081,Jon Macken,Ireland,Manchester City,3,2004-2005,2004
1082,Mikel Arteta,Spain,Everton FC,3,2004-2005,2004
1083,Danny Mills,England,Manchester City,3,2004-2005,2004
1084,Szilárd Németh,Slovakia,Middlesbrough FC,3,2004-2005,2004
1085,Gary Neville,England,Manchester United,3,2004-2005,2004
1086,Morten Pedersen,Norway,Blackburn Rovers,3,2004-2005,2004
1087,Jermaine Pennant,England,Birmingham City,3,2004-2005,2004
1088,Jamie Redknapp,England,Tottenham Hotspur,3,2004-2005,2004
1089,Robbie Savage,Wales,Blackburn Rovers,3,2004-2005,2004
1090,Paul Scholes,England,Manchester United,3,2004-2005,2004
1091,Riccardo Scimeca,England,West Bromwich Albion,3,2004-2005,2004
1092,Mathias Svensson,Sweden,Norwich City,3,2004-2005,2004
1093,David Thompson,England,Blackburn Rovers,3,2004-2005,2004
1094,Tiago,Portugal,Chelsea FC,3,2004-2005,2004
1095,David Unsworth,England,Portsmouth FC,3,2004-2005,2004
1096,Nicolas Anelka,France,Manchester City,2,2004-2005,2004
1097,Celestine Babayaro,Nigeria,Newcastle United,2,2004-2005,2004
1098,George Boateng,Netherlands,Middlesbrough FC,2,2004-2005,2004
1099,Jamie Carragher,England,Liverpool FC,2,2004-2005,2004
1100,Lee Carsley,Ireland,Everton FC,2,2004-2005,2004
1101,Lee Clark,England,Fulham FC,2,2004-2005,2004
1102,Joe Cole,England,Chelsea FC,2,2004-2005,2004
1103,Kevin Davies,England,Bolton Wanderers,2,2004-2005,2004
1104,Sean Davis,England,Tottenham Hotspur,2,2004-2005,2004
1105,Jermain Defoe,England,Tottenham Hotspur,2,2004-2005,2004
1106,Paul Dickov,Scotland,Blackburn Rovers,2,2004-2005,2004
1107,Adam Drury,England,Norwich City,2,2004-2005,2004
1108,Erik Edman,Sweden,Tottenham Hotspur,2,2004-2005,2004
1109,Jason Euell,Jamaica,Charlton Athletic,2,2004-2005,2004
1110,Rio Ferdinand,England,Manchester United,2,2004-2005,2004
1111,Craig Fleming,England,Norwich City,2,2004-2005,2004
1112,Darren Fletcher,Scotland,Manchester United,2,2004-2005,2004
1113,Thomas Helveg,Denmark,Norwich City,2,2004-2005,2004
1114,Lee Hendrie,England,Aston Villa,2,2004-2005,2004
1115,Thomas Hitzlsperger,Germany,Aston Villa,2,2004-2005,2004
1116,Michael Hughes,Northern Ireland,Crystal Palace,2,2004-2005,2004
1117,Claus Jensen,Denmark,Fulham FC,2,2004-2005,2004
1118,Glen Johnson,England,Chelsea FC,2,2004-2005,2004
1119,Mattias Jonson,Sweden,Norwich City,2,2004-2005,2004
1120,Roy Keane,Ireland,Manchester United,2,2004-2005,2004
1121,Harry Kewell,Australia,Liverpool FC,2,2004-2005,2004
1122,Joonas Kolkka,Finland,Crystal Palace,2,2004-2005,2004
1123,Paul Konchesky,England,Charlton Athletic,2,2004-2005,2004
1124,Claude Makélélé,France,Chelsea FC,2,2004-2005,2004
1125,Neil McCann,Scotland,Southampton FC,2,2004-2005,2004
1126,Clinton Morrison,Ireland,Birmingham City,2,2004-2005,2004
1127,Kiki Musampa,Netherlands,Manchester City,2,2004-2005,2004
1128,Bruno N'Gotty,France,Bolton Wanderers,2,2004-2005,2004
1129,Lucas Neill,Australia,Blackburn Rovers,2,2004-2005,2004
1130,Kevin Nolan,England,Bolton Wanderers,2,2004-2005,2004
1131,Gary O'Neil,England,Portsmouth FC,2,2004-2005,2004
1132,Jay Jay Okocha,Nigeria,Bolton Wanderers,2,2004-2005,2004
1133,Leon Osman,England,Everton FC,2,2004-2005,2004
1134,Walter Pandiani,Uruguay,Birmingham City,2,2004-2005,2004
1135,David Prutton,England,Southampton FC,2,2004-2005,2004
1136,Nigel Quashie,Scotland,Southampton FC,2,2004-2005,2004
1137,Wayne Rooney,England,Manchester United,2,2004-2005,2004
1138,Louis Saha,France,Manchester United,2,2004-2005,2004
1139,Tom Soares,England,Crystal Palace,2,2004-2005,2004
1140,Gareth Southgate,England,Middlesbrough FC,2,2004-2005,2004
1141,Paul Telfer,Scotland,Southampton FC,2,2004-2005,2004
1142,Jerome Thomas,England,Charlton Athletic,2,2004-2005,2004
1143,Luke Young,England,Charlton Athletic,2,2004-2005,2004
1144,Martin Albrechtsen,Denmark,West Bromwich Albion,1,2004-2005,2004
1145,Shola Ameobi,Nigeria,Newcastle United,1,2004-2005,2004
1146,Darren Anderton,England,Birmingham City,1,2004-2005,2004
1147,Milan Baroš,Czech Republic,Liverpool FC,1,2004-2005,2004
1148,Gareth Barry,England,Aston Villa,1,2004-2005,2004
1149,James Beattie,England,Southampton FC,1,2004-2005,2004
1150,Emmerson Boyce,Barbados,Crystal Palace,1,2004-2005,2004
1151,Titus Bramble,England,Newcastle United,1,2004-2005,2004
1152,Nicky Butt,England,Newcastle United,1,2004-2005,2004
1153,Kevin Campbell,England,West Bromwich Albion,1,2004-2005,2004
1154,Stephen Carr,Ireland,Newcastle United,1,2004-2005,2004
1155,Darren Carter,England,Birmingham City,1,2004-2005,2004
1156,Aliou Cissé,Senegal,Portsmouth FC,1,2004-2005,2004
1157,Djibril Cissé,France,Liverpool FC,1,2004-2005,2004
1158,Gaël Clichy,France,Arsenal FC,1,2004-2005,2004
1159,Ashley Cole,England,Arsenal FC,1,2004-2005,2004
1160,Cosmin Contra,Romania,West Bromwich Albion,1,2004-2005,2004
1161,Lee Croft,England,Manchester City,1,2004-2005,2004
1162,Mark Delaney,Wales,Aston Villa,1,2004-2005,2004
1163,Youri Djorkaeff,France,Blackburn Rovers,1,2004-2005,2004
1164,Jason Dodd,England,Southampton FC,1,2004-2005,2004
1165,Robert Earnshaw,Wales,West Bromwich Albion,1,2004-2005,2004
1166,Edu Gaspar,Brazil,Arsenal FC,1,2004-2005,2004
1167,Les Ferdinand,England,Bolton Wanderers,1,2004-2005,2004
1168,Barry Ferguson,Scotland,Blackburn Rovers,1,2004-2005,2004
1169,Steve Finnan,Ireland,Liverpool FC,1,2004-2005,2004
1170,Mathieu Flamini,France,Arsenal FC,1,2004-2005,2004
1171,Mikael Forssell,Finland,Chelsea FC,1,2004-2005,2004
1172,Damien Francis,Jamaica,Norwich City,1,2004-2005,2004
1173,Ricardo Fuller,Jamaica,Portsmouth FC,1,2004-2005,2004
1174,Paul Gallagher,Scotland,Blackburn Rovers,1,2004-2005,2004
1175,William Gallas,France,Chelsea FC,1,2004-2005,2004
1176,Ricardo Gardner,Jamaica,Bolton Wanderers,1,2004-2005,2004
1177,Gilberto Silva,Brazil,Arsenal FC,1,2004-2005,2004
1178,Adam Green,England,Fulham FC,1,2004-2005,2004
1179,Jesper Grønkjær,Denmark,Birmingham City,1,2004-2005,2004
1180,Gabriel Heinze,Argentina,Manchester United,1,2004-2005,2004
1181,Tony Hibbert,England,Everton FC,1,2004-2005,2004
1182,Hierro,Spain,Bolton Wanderers,1,2004-2005,2004
1183,Matt Holland,Ireland,Charlton Athletic,1,2004-2005,2004
1184,Gary Holt,Scotland,Norwich City,1,2004-2005,2004
1185,Muzzy Izzet,Turkey,Birmingham City,1,2004-2005,2004
1186,Radhi Jaïdi,Tunisia,Bolton Wanderers,1,2004-2005,2004
1187,Joseph-Désiré Job,Cameroon,Middlesbrough FC,1,2004-2005,2004
1188,Jonatan Johansson,Finland,Charlton Athletic,1,2004-2005,2004
1189,Andy Johnson,England,West Bromwich Albion,1,2004-2005,2004
1190,Damien Johnson,Northern Ireland,Birmingham City,1,2004-2005,2004
1191,Josemi,Spain,Liverpool FC,1,2004-2005,2004
1192,Tugay Kerimoğlu,Turkey,Blackburn Rovers,1,2004-2005,2004
1193,Gábor Király,Hungary,Crystal Palace,1,2004-2005,2004
1194,Radostin Kishishev,Bulgaria,Charlton Athletic,1,2004-2005,2004
1195,Kléberson,Brazil,Manchester United,1,2004-2005,2004
1196,Patrick Kluivert,Netherlands,Newcastle United,1,2004-2005,2004
1197,Jason Koumas,Wales,West Bromwich Albion,1,2004-2005,2004
1198,Vassilios Lakis,Greece,Crystal Palace,1,2004-2005,2004
1199,Stan Lazaridis,Australia,Birmingham City,1,2004-2005,2004
1200,Dean Marney,England,Tottenham Hotspur,1,2004-2005,2004
1201,Dominic Matteo,Scotland,Blackburn Rovers,1,2004-2005,2004
1202,Gavin McCann,England,Aston Villa,1,2004-2005,2004
1203,Mario Melchiot,Netherlands,Birmingham City,1,2004-2005,2004
1204,Olof Mellberg,Sweden,Aston Villa,1,2004-2005,2004
1205,Mendieta,Spain,Middlesbrough FC,1,2004-2005,2004
1206,James Milner,England,Newcastle United,1,2004-2005,2004
1207,Aaron Mokoena,South Africa,Blackburn Rovers,1,2004-2005,2004
1208,James Morrison,Scotland,Middlesbrough FC,1,2004-2005,2004
1209,Adrian Mutu,Romania,Chelsea FC,1,2004-2005,2004
1210,Charles N'Zogbia,France,Newcastle United,1,2004-2005,2004
1211,Mikael Nilsson,Sweden,Southampton FC,1,2004-2005,2004
1212,John O'Shea,Ireland,Manchester United,1,2004-2005,2004
1213,Matt Oakley,England,Southampton FC,1,2004-2005,2004
1214,Noé Pamarot,France,Tottenham Hotspur,1,2004-2005,2004
1215,Henrik Pedersen,Denmark,Bolton Wanderers,1,2004-2005,2004
1216,Pedro Mendes,Portugal,Tottenham Hotspur,1,2004-2005,2004
1217,Kevin Phillips,England,Southampton FC,1,2004-2005,2004
1218,Alessandro Pistone,Italy,Everton FC,1,2004-2005,2004
1219,Tony Popovic,Australia,Crystal Palace,1,2004-2005,2004
1220,Andy Reid,Ireland,Tottenham Hotspur,1,2004-2005,2004
1221,Michael Reiziger,Netherlands,Middlesbrough FC,1,2004-2005,2004
1222,Claudio Reyna,USA,Manchester City,1,2004-2005,2004
1223,Kieran Richardson,England,West Bromwich Albion,1,2004-2005,2004
1224,Paul Robinson,England,Tottenham Hotspur,1,2004-2005,2004
1225,Liam Rosenior,England,Fulham FC,1,2004-2005,2004
1226,Antoine Sibierski,France,Manchester City,1,2004-2005,2004
1227,Mikaël Silvestre,France,Manchester United,1,2004-2005,2004
1228,Jon Stead,England,Blackburn Rovers,1,2004-2005,2004
1229,Steve Stone,England,Portsmouth FC,1,2004-2005,2004
1230,Graham Stuart,England,Norwich City,1,2004-2005,2004
1231,Steven Taylor,England,Newcastle United,1,2004-2005,2004
1232,John Terry,England,Chelsea FC,1,2004-2005,2004
1233,Djimi Traoré,Mali,Liverpool FC,1,2004-2005,2004
1234,Matthew Upson,England,Birmingham City,1,2004-2005,2004
1235,Ruud van Nistelrooy,Netherlands,Manchester United,1,2004-2005,2004
1236,Darius Vassell,England,Aston Villa,1,2004-2005,2004
1237,Mark Viduka,Australia,Middlesbrough FC,1,2004-2005,2004
1238,Moritz Volz,Germany,Fulham FC,1,2004-2005,2004
1239,Stephen Warnock,England,Liverpool FC,1,2004-2005,2004
1240,Steve Watson,England,Everton FC,1,2004-2005,2004
1241,David Weir,Scotland,Everton FC,1,2004-2005,2004
1242,Boudewijn Zenden,Netherlands,Middlesbrough FC,1,2004-2005,2004
1243,Reto Ziegler,Switzerland,Tottenham Hotspur,1,2004-2005,2004
1244,Didier Drogba,Ivory Coast,Chelsea FC,11,2005-2006,2005
1245,Reyes,Spain,Arsenal FC,10,2005-2006,2005
1246,Boa Morte,Portugal,Fulham FC,9,2005-2006,2005
1247,Wayne Rooney,England,Manchester United,9,2005-2006,2005
1248,Thierry Henry,France,Arsenal FC,8,2005-2006,2005
1249,Frank Lampard,England,Chelsea FC,8,2005-2006,2005
1250,James Milner,England,Newcastle United,8,2005-2006,2005
1251,Danny Murphy,England,Tottenham Hotspur,8,2005-2006,2005
1252,Charles N'Zogbia,France,Newcastle United,8,2005-2006,2005
1253,Ji-Sung Park,South Korea,Manchester United,8,2005-2006,2005
1254,Kevin Davies,England,Bolton Wanderers,7,2005-2006,2005
1255,Ryan Giggs,Wales,Manchester United,7,2005-2006,2005
1256,Mikel Arteta,Spain,Everton FC,7,2005-2006,2005
1257,Darius Vassell,England,Manchester City,7,2005-2006,2005
1258,Xabi Alonso,Spain,Liverpool FC,7,2005-2006,2005
1259,Yakubu Ayegbeni,Nigeria,Middlesbrough FC,6,2005-2006,2005
1260,Yossi Benayoun,Israel,West Ham United,6,2005-2006,2005
1261,Michael Carrick,England,Tottenham Hotspur,6,2005-2006,2005
1262,Cristiano Ronaldo,Portugal,Manchester United,6,2005-2006,2005
1263,Mido,Egypt,Tottenham Hotspur,6,2005-2006,2005
1264,Jermaine Pennant,England,Birmingham City,6,2005-2006,2005
1265,Dean Whitehead,England,Sunderland AFC,6,2005-2006,2005
1266,Bobby Zamora,England,West Ham United,6,2005-2006,2005
1267,Cesc Fàbregas,Spain,Arsenal FC,5,2005-2006,2005
1268,Andy Cole,England,Manchester City,5,2005-2006,2005
1269,Peter Crouch,England,Liverpool FC,5,2005-2006,2005
1270,Jermain Defoe,England,Tottenham Hotspur,5,2005-2006,2005
1271,Del Horno,Spain,Chelsea FC,5,2005-2006,2005
1272,Matthew Etherington,England,West Ham United,5,2005-2006,2005
1273,Steven Gerrard,England,Liverpool FC,5,2005-2006,2005
1274,Eiður Guðjohnsen,Iceland,Chelsea FC,5,2005-2006,2005
1275,Aaron Hughes,Northern Ireland,Aston Villa,5,2005-2006,2005
1276,Morientes,Spain,Liverpool FC,5,2005-2006,2005
1277,James Morrison,Scotland,Middlesbrough FC,5,2005-2006,2005
1278,Morten Pedersen,Norway,Blackburn Rovers,5,2005-2006,2005
1279,Emmanuel Adebayor,Togo,Arsenal FC,4,2005-2006,2005
1280,Joey Barton,England,Manchester City,4,2005-2006,2005
1281,Darren Bent,England,Charlton Athletic,4,2005-2006,2005
1282,Jimmy Bullard,England,Wigan Athletic,4,2005-2006,2005
1283,Joe Cole,England,Chelsea FC,4,2005-2006,2005
1284,Stewart Downing,England,Middlesbrough FC,4,2005-2006,2005
1285,Damien Duff,Ireland,Chelsea FC,4,2005-2006,2005
1286,Stylianos Giannakopoulos,Greece,Bolton Wanderers,4,2005-2006,2005
1287,Jonathan Greening,England,West Bromwich Albion,4,2005-2006,2005
1288,Marlon Harewood,England,West Ham United,4,2005-2006,2005
1289,Emile Heskey,England,Birmingham City,4,2005-2006,2005
1290,Jermaine Jenas,England,Tottenham Hotspur,4,2005-2006,2005
1291,Paul Konchesky,England,West Ham United,4,2005-2006,2005
1292,Shefki Kuqi,Finland,Blackburn Rovers,4,2005-2006,2005
1293,Steed Malbranque,France,Fulham FC,4,2005-2006,2005
1294,Kevin Nolan,England,Bolton Wanderers,4,2005-2006,2005
1295,Leon Osman,England,Everton FC,4,2005-2006,2005
1296,Kevin Phillips,England,Aston Villa,4,2005-2006,2005
1297,Robert Pirés,France,Arsenal FC,4,2005-2006,2005
1298,Tomasz Radzinski,Canada,Fulham FC,4,2005-2006,2005
1299,Nigel Reo-Coker,England,West Ham United,4,2005-2006,2005
1300,Ricardo Vaz Tê,Portugal,Bolton Wanderers,4,2005-2006,2005
1301,Dennis Rommedahl,Denmark,Charlton Athletic,4,2005-2006,2005
1302,Alan Shearer,England,Newcastle United,4,2005-2006,2005
1303,Teemu Tainio,Finland,Tottenham Hotspur,4,2005-2006,2005
1304,Matthew Taylor,England,Portsmouth FC,4,2005-2006,2005
1305,Mark Viduka,Australia,Middlesbrough FC,4,2005-2006,2005
1306,Julio Arca,Argentina,Sunderland AFC,3,2005-2006,2005
1307,Milan Baroš,Czech Republic,Liverpool FC,3,2005-2006,2005
1308,James Beattie,England,Everton FC,3,2005-2006,2005
1309,Tim Cahill,Australia,Everton FC,3,2005-2006,2005
1310,Henri Camara,Senegal,Wigan Athletic,3,2005-2006,2005
1311,Pascal Chimbonda,France,Wigan Athletic,3,2005-2006,2005
1312,Simon Elliott,New Zealand,Fulham FC,3,2005-2006,2005
1313,Brett Emerton,Australia,Blackburn Rovers,3,2005-2006,2005
1314,Fábio Rochemback,Brazil,Middlesbrough FC,3,2005-2006,2005
1315,Steve Finnan,Ireland,Liverpool FC,3,2005-2006,2005
1316,Mathieu Flamini,France,Arsenal FC,3,2005-2006,2005
1317,Hermann Hreiðarsson,Iceland,Charlton Athletic,3,2005-2006,2005
1318,Bryan Hughes,England,Charlton Athletic,3,2005-2006,2005
1319,Junichi Inamoto,Japan,West Bromwich Albion,3,2005-2006,2005
1320,Nwankwo Kanu,Nigeria,West Bromwich Albion,3,2005-2006,2005
1321,Robbie Keane,Ireland,Tottenham Hotspur,3,2005-2006,2005
1322,Harry Kewell,Australia,Liverpool FC,3,2005-2006,2005
1323,Aaron Lennon,England,Tottenham Hotspur,3,2005-2006,2005
1324,Freddie Ljungberg,Sweden,Arsenal FC,3,2005-2006,2005
1325,Lomana LuaLua,Congo DR,Portsmouth FC,3,2005-2006,2005
1326,Luis García,Spain,Liverpool FC,3,2005-2006,2005
1327,Brian McBride,USA,Fulham FC,3,2005-2006,2005
1328,Brian Priske,Denmark,Portsmouth FC,3,2005-2006,2005
1329,Franck Queudrue,France,Middlesbrough FC,3,2005-2006,2005
1330,Arjen Robben,Netherlands,Chelsea FC,3,2005-2006,2005
1331,Laurent Robert,France,Portsmouth FC,3,2005-2006,2005
1332,Jason Roberts,Grenada,Wigan Athletic,3,2005-2006,2005
1333,Wayne Routledge,England,Tottenham Hotspur,3,2005-2006,2005
1334,Robbie Savage,Wales,Blackburn Rovers,3,2005-2006,2005
1335,Teddy Sheringham,England,West Ham United,3,2005-2006,2005
1336,Trevor Sinclair,England,Manchester City,3,2005-2006,2005
1337,Gary Speed,Wales,Bolton Wanderers,3,2005-2006,2005
1338,Gary Teale,Scotland,Wigan Athletic,3,2005-2006,2005
1339,Andy van der Meyde,Netherlands,Everton FC,3,2005-2006,2005
1340,Ruud van Nistelrooy,Netherlands,Manchester United,3,2005-2006,2005
1341,Shaun Wright-Phillips,England,Chelsea FC,3,2005-2006,2005
1342,Darren Ambrose,England,Charlton Athletic,2,2005-2006,2005
1343,Shola Ameobi,Nigeria,Newcastle United,2,2005-2006,2005
1344,Gareth Barry,England,Aston Villa,2,2005-2006,2005
1345,Craig Bellamy,Wales,Blackburn Rovers,2,2005-2006,2005
1346,Emre Belözoğlu,Turkey,Newcastle United,2,2005-2006,2005
1347,Benjani,Zimbabwe,Portsmouth FC,2,2005-2006,2005
1348,Lee Bowyer,England,Newcastle United,2,2005-2006,2005
1349,Wayne Bridge,England,Fulham FC,2,2005-2006,2005
1350,Wes Brown,England,Manchester United,2,2005-2006,2005
1351,Sol Campbell,England,Arsenal FC,2,2005-2006,2005
1352,Jamie Carragher,England,Liverpool FC,2,2005-2006,2005
1353,Andrés D'Alessandro,Argentina,Portsmouth FC,2,2005-2006,2005
1354,Steven Davis,Northern Ireland,Aston Villa,2,2005-2006,2005
1355,Michael Dawson,England,Tottenham Hotspur,2,2005-2006,2005
1356,Kieron Dyer,England,Newcastle United,2,2005-2006,2005
1357,Emmanuel Eboué,Ivory Coast,Arsenal FC,2,2005-2006,2005
1358,Amdy Faye,Senegal,Newcastle United,2,2005-2006,2005
1359,Anton Ferdinand,England,West Ham United,2,2005-2006,2005
1360,Darren Fletcher,Scotland,Manchester United,2,2005-2006,2005
1361,Damien Francis,Jamaica,Wigan Athletic,2,2005-2006,2005
1362,Ricardo Gardner,Jamaica,Bolton Wanderers,2,2005-2006,2005
1363,Zoltán Gera,Hungary,West Bromwich Albion,2,2005-2006,2005
1364,Julian Gray,England,Birmingham City,2,2005-2006,2005
1365,Jimmy Floyd Hasselbaink,Netherlands,Middlesbrough FC,2,2005-2006,2005
1366,Heiðar Helguson,Iceland,Fulham FC,2,2005-2006,2005
1367,Lee Hendrie,England,Aston Villa,2,2005-2006,2005
1368,Stephen Ireland,Ireland,Manchester City,2,2005-2006,2005
1369,Radhi Jaïdi,Tunisia,Bolton Wanderers,2,2005-2006,2005
1370,Niclas Jensen,Denmark,Fulham FC,2,2005-2006,2005
1371,Collins John,Netherlands,Fulham FC,2,2005-2006,2005
1372,Damien Johnson,Northern Ireland,Birmingham City,2,2005-2006,2005
1373,Diomansy Kamara,Senegal,West Bromwich Albion,2,2005-2006,2005
1374,Graham Kavanagh,Ireland,Wigan Athletic,2,2005-2006,2005
1375,Claude Makélélé,France,Chelsea FC,2,2005-2006,2005
1376,James McFadden,Scotland,Everton FC,2,2005-2006,2005
1377,Mendieta,Spain,Middlesbrough FC,2,2005-2006,2005
1378,Tommy Miller,Scotland,Sunderland AFC,2,2005-2006,2005
1379,Luke Moore,England,Aston Villa,2,2005-2006,2005
